2026-06-26 12:00:55 | INFO | Kafka Consumer Started
2026-06-26 12:01:04 | INFO | Consumer Stopped
2026-06-26 12:03:34 | INFO | Kafka Consumer Started
2026-06-26 12:04:06 | INFO | Instagram | Amanda Delgado | Inserted Successfully
2026-06-26 12:04:42 | INFO | Instagram | Jared Carney | Inserted Successfully
2026-06-26 12:04:43 | INFO | Instagram | John Bailey | Inserted Successfully
2026-06-26 12:04:44 | INFO | Instagram | Jonathan Hudson | Inserted Successfully
2026-06-26 12:04:45 | INFO | Instagram | Rachel Brady | Inserted Successfully
2026-06-26 12:04:46 | INFO | Instagram | Dawn Snyder | Inserted Successfully
2026-06-26 12:04:47 | INFO | Instagram | Michelle Miller | Inserted Successfully
2026-06-26 12:04:48 | INFO | Instagram | Hannah Sanchez | Inserted Successfully
2026-06-26 12:04:49 | INFO | Instagram | Sarah King | Inserted Successfully
2026-06-26 12:04:50 | INFO | Instagram | Jordan Scott | Inserted Successfully
2026-06-26 12:04:51 | INFO | Instagram | Kirsten Jones | Inserted Successfully
2026-06-26 12:04:52 | INFO | Instagram | David Little | Inserted Successfully
2026-06-26 12:04:53 | INFO | Instagram | Pamela Morris | Inserted Successfully
2026-06-26 12:04:54 | INFO | Instagram | Jillian Davis | Inserted Successfully
2026-06-26 12:04:55 | INFO | Instagram | Douglas Frazier | Inserted Successfully
2026-06-26 12:04:56 | INFO | Instagram | Lori Lowery | Inserted Successfully
2026-06-26 12:04:57 | INFO | Instagram | James Moore | Inserted Successfully
2026-06-26 12:04:58 | INFO | Instagram | Adam Young | Inserted Successfully
2026-06-26 12:04:59 | INFO | Instagram | Joann Collins | Inserted Successfully
2026-06-26 12:05:00 | INFO | Instagram | Megan Baker | Inserted Successfully
2026-06-26 12:05:01 | INFO | Instagram | Patrick Miller | Inserted Successfully
2026-06-26 12:05:02 | INFO | Instagram | Andrew Wells | Inserted Successfully
2026-06-26 12:05:03 | INFO | Instagram | Mark Simpson | Inserted Successfully
2026-06-26 12:05:04 | INFO | Instagram | Randy Ruiz | Inserted Successfully
2026-06-26 12:05:05 | INFO | Instagram | Jose Young | Inserted Successfully
2026-06-26 12:05:06 | INFO | Instagram | Jeffrey Smith | Inserted Successfully
2026-06-26 12:05:07 | INFO | Instagram | Christopher Morgan | Inserted Successfully
2026-06-26 12:05:08 | INFO | Instagram | Stephanie Crawford | Inserted Successfully
2026-06-26 12:05:09 | INFO | Instagram | Cassandra Lee | Inserted Successfully
2026-06-26 12:05:10 | INFO | Instagram | Tina Jenkins | Inserted Successfully
2026-06-26 12:05:11 | INFO | Instagram | Suzanne Tucker | Inserted Successfully
2026-06-26 12:05:22 | INFO | YouTube | Mr. James Jackson | Inserted Successfully
2026-06-26 12:05:23 | INFO | YouTube | Gina Yoder | Inserted Successfully
2026-06-26 12:05:24 | INFO | YouTube | Wanda Medina | Inserted Successfully
2026-06-26 12:05:25 | INFO | YouTube | Nathan Lyons | Inserted Successfully
2026-06-26 12:05:26 | INFO | YouTube | Stephanie Weaver | Inserted Successfully
2026-06-26 12:05:27 | INFO | YouTube | Elizabeth Murphy | Inserted Successfully
2026-06-26 12:05:28 | INFO | YouTube | William Meyer | Inserted Successfully
2026-06-26 12:05:29 | INFO | YouTube | Matthew Fuller | Inserted Successfully
2026-06-26 12:05:30 | INFO | YouTube | David Stewart | Inserted Successfully
2026-06-26 12:05:31 | INFO | YouTube | Ryan Hicks | Inserted Successfully
2026-06-26 12:05:32 | INFO | YouTube | Chad Wilkins | Inserted Successfully
2026-06-26 12:05:33 | INFO | YouTube | Kimberly Newman | Inserted Successfully
2026-06-26 12:05:34 | INFO | YouTube | Lauren Rodriguez | Inserted Successfully
2026-06-26 12:05:35 | INFO | YouTube | Tina Murphy | Inserted Successfully
2026-06-26 12:05:36 | INFO | YouTube | Carl Davis | Inserted Successfully
2026-06-26 12:05:37 | INFO | YouTube | Jennifer Mcintyre | Inserted Successfully
2026-06-26 12:05:38 | INFO | YouTube | Alexander Knapp | Inserted Successfully
2026-06-26 12:05:39 | INFO | YouTube | Stephanie Acosta | Inserted Successfully
2026-06-26 12:05:40 | INFO | YouTube | Nathan Taylor | Inserted Successfully
2026-06-26 12:05:41 | INFO | YouTube | Angela Lester | Inserted Successfully
2026-06-26 12:05:42 | INFO | YouTube | Ryan Wyatt | Inserted Successfully
2026-06-26 12:05:43 | INFO | YouTube | Kristen Davis | Inserted Successfully
2026-06-26 12:05:44 | INFO | YouTube | Anthony Barnes | Inserted Successfully
2026-06-26 12:05:45 | INFO | YouTube | Leah Taylor | Inserted Successfully
2026-06-26 12:05:46 | INFO | YouTube | Ashley Richard | Inserted Successfully
2026-06-26 12:05:47 | INFO | YouTube | Dennis Chavez | Inserted Successfully
2026-06-26 12:05:48 | INFO | YouTube | Matthew Dudley | Inserted Successfully
2026-06-26 12:05:49 | INFO | YouTube | Veronica Rivera | Inserted Successfully
2026-06-26 12:05:50 | INFO | YouTube | Cameron Cain | Inserted Successfully
2026-06-26 12:05:51 | INFO | YouTube | Julia Gomez | Inserted Successfully
2026-06-26 12:05:52 | INFO | YouTube | Earl Copeland | Inserted Successfully
2026-06-26 12:05:53 | INFO | YouTube | Joseph Rojas | Inserted Successfully
2026-06-26 12:05:54 | INFO | YouTube | Dylan Best | Inserted Successfully
2026-06-26 12:05:55 | INFO | YouTube | Jordan Hammond | Inserted Successfully
2026-06-26 12:05:56 | INFO | YouTube | Keith Meyer | Inserted Successfully
2026-06-26 12:05:57 | INFO | YouTube | Elaine Carpenter | Inserted Successfully
2026-06-26 12:05:58 | INFO | YouTube | Beth Bryant | Inserted Successfully
2026-06-26 12:05:59 | INFO | YouTube | Melissa Mora | Inserted Successfully
2026-06-26 12:06:00 | INFO | YouTube | Joseph Pace | Inserted Successfully
2026-06-26 12:06:01 | INFO | YouTube | Savannah Boyd | Inserted Successfully
2026-06-26 12:06:02 | INFO | YouTube | Miss Tammy Silva MD | Inserted Successfully
2026-06-26 12:06:03 | INFO | YouTube | Carolyn Smith | Inserted Successfully
2026-06-26 12:06:04 | INFO | YouTube | Calvin Robinson | Inserted Successfully
2026-06-26 12:06:05 | INFO | YouTube | Anne Bird | Inserted Successfully
2026-06-26 12:06:06 | INFO | YouTube | Brian Jennings | Inserted Successfully
2026-06-26 12:06:07 | INFO | YouTube | James Hill | Inserted Successfully
2026-06-26 12:06:08 | INFO | YouTube | Jeffrey Gomez | Inserted Successfully
2026-06-26 12:06:09 | INFO | YouTube | Scott Williams | Inserted Successfully
2026-06-26 12:06:10 | INFO | YouTube | Dillon Vasquez | Inserted Successfully
2026-06-26 12:06:11 | INFO | YouTube | Jose Gomez | Inserted Successfully
2026-06-26 12:06:12 | INFO | YouTube | Darren Dunn | Inserted Successfully
2026-06-26 12:06:13 | INFO | YouTube | Nancy Allen | Inserted Successfully
2026-06-26 12:06:14 | INFO | YouTube | Jason Hanna | Inserted Successfully
2026-06-26 12:06:15 | INFO | YouTube | Miranda Rogers | Inserted Successfully
2026-06-26 12:06:16 | INFO | YouTube | Peter Walter | Inserted Successfully
2026-06-26 12:06:17 | INFO | YouTube | Kelly Welch MD | Inserted Successfully
2026-06-26 12:06:20 | INFO | Consumer Stopped
2026-06-26 12:14:50 | INFO | Kafka Consumer Started
2026-06-26 12:14:54 | INFO | YouTube | Mr. James Jackson | Inserted Successfully
2026-06-26 12:14:55 | INFO | YouTube | Gina Yoder | Inserted Successfully
2026-06-26 12:14:56 | INFO | YouTube | Wanda Medina | Inserted Successfully
2026-06-26 12:14:57 | INFO | YouTube | Nathan Lyons | Inserted Successfully
2026-06-26 12:14:58 | INFO | YouTube | Stephanie Weaver | Inserted Successfully
2026-06-26 12:14:59 | INFO | YouTube | Elizabeth Murphy | Inserted Successfully
2026-06-26 12:15:00 | INFO | YouTube | William Meyer | Inserted Successfully
2026-06-26 12:15:01 | INFO | YouTube | Matthew Fuller | Inserted Successfully
2026-06-26 12:15:02 | INFO | YouTube | David Stewart | Inserted Successfully
2026-06-26 12:15:09 | INFO | Consumer Stopped
2026-06-26 12:15:51 | INFO | Kafka Consumer Started
2026-06-26 12:15:55 | INFO | YouTube | Mr. James Jackson | Inserted Successfully
2026-06-26 12:15:55 | INFO | YouTube | Gina Yoder | Inserted Successfully
2026-06-26 12:15:55 | INFO | YouTube | Wanda Medina | Inserted Successfully
2026-06-26 12:15:55 | INFO | YouTube | Nathan Lyons | Inserted Successfully
2026-06-26 12:15:55 | INFO | YouTube | Stephanie Weaver | Inserted Successfully
2026-06-26 12:15:56 | INFO | YouTube | Elizabeth Murphy | Inserted Successfully
2026-06-26 12:15:57 | INFO | Consumer Stopped
